exp_id,ID,Treatment,datetime,movement,PC
exp01,071,ctrl1,2021-03-08T17:54:00Z,1510.7688332041944,A
exp01,071,ctrl1,2021-03-08T17:59:00Z,233.6664935534172,A
exp01,071,ctrl1,2021-03-08T18:04:00Z,316.6905301847439,A
exp01,071,ctrl1,2021-03-08T18:09:00Z,257.95041335847714,A
exp01,071,ctrl1,2021-03-08T18:14:00Z,330.21427297739024,A
exp01,071,ctrl1,2021-03-08T18:19:00Z,313.4343579519735,A
exp01,071,ctrl1,2021-03-08T18:24:00Z,274.33761395713844,A
exp01,071,ctrl1,2021-03-08T18:29:00Z,302.8300268682225,A
exp01,071,ctrl1,2021-03-08T18:34:00Z,599.8263515721248,A
exp01,071,ctrl1,2021-03-08T18:39:00Z,391.1470373198435,A
exp01,071,ctrl1,2021-03-08T18:44:00Z,414.2601897184052,A
exp01,071,ctrl1,2021-03-08T18:49:00Z,526.2085387149051,A
exp01,071,ctrl1,2021-03-08T18:54:00Z,1612.445945840312,A
exp01,071,ctrl1,2021-03-08T18:59:00Z,426.7294838491522,A
exp01,071,ctrl1,2021-03-09T06:59:00Z,9552.885923793054,A
exp01,071,ctrl1,2021-03-09T07:04:00Z,7078.148600946174,A
exp01,071,ctrl1,2021-03-09T07:09:00Z,2753.1725880338618,A
exp01,071,ctrl1,2021-03-09T07:14:00Z,1141.8884134620816,A
exp01,071,ctrl1,2021-03-09T07:19:00Z,1438.4188777378045,A
exp01,071,ctrl1,2021-03-09T07:24:00Z,982.0285717798886,A
exp01,071,ctrl1,2021-03-09T07:29:00Z,422.0450483304309,A
exp01,071,ctrl1,2021-03-09T07:34:00Z,349.9278035303001,A
exp01,071,ctrl1,2021-03-09T07:39:00Z,428.8994185065056,A
exp01,071,ctrl1,2021-03-09T07:44:00Z,389.4289460733815,A
exp01,071,ctrl1,2021-03-09T07:49:00Z,482.8425637383776,A
exp01,071,ctrl1,2021-03-09T07:54:00Z,354.83586973509773,A
exp01,071,ctrl1,2021-03-09T07:59:00Z,375.8149106030309,A
exp01,071,ctrl1,2021-03-09T08:04:00Z,619.2989049132159,A
exp01,071,ctrl1,2021-03-09T08:09:00Z,2100.1309095032084,A
exp01,071,ctrl1,2021-03-09T08:14:00Z,719.3913690479679,A
exp01,071,ctrl1,2021-03-09T08:19:00Z,420.45352364507056,A
exp01,071,ctrl1,2021-03-09T08:24:00Z,627.9516609305633,A
exp01,071,ctrl1,2021-03-09T08:29:00Z,2385.3437411149066,A
exp01,071,ctrl1,2021-03-09T08:34:00Z,3692.063243065885,A
exp01,071,ctrl1,2021-03-09T08:39:00Z,2799.713147860819,A
exp01,071,ctrl1,2021-03-09T08:44:00Z,2352.949125650784,A
exp01,071,ctrl1,2021-03-09T08:49:00Z,851.5335233457937,A
exp01,071,ctrl1,2021-03-09T08:54:00Z,563.5985495706656,A
exp01,071,ctrl1,2021-03-09T08:59:00Z,290.04548527795606,A
exp01,071,ctrl1,2021-03-09T09:04:00Z,318.96071223541634,A
exp01,071,ctrl1,2021-03-09T09:09:00Z,257.9333089627839,A
exp01,071,ctrl1,2021-03-09T09:14:00Z,289.25743821568096,A
exp01,071,ctrl1,2021-03-09T09:19:00Z,824.1047402403665,A
exp01,071,ctrl1,2021-03-09T09:24:00Z,2897.6630677846897,A
exp01,071,ctrl1,2021-03-09T09:29:00Z,1911.484854715825,A
exp01,071,ctrl1,2021-03-09T09:34:00Z,2422.6894723456226,A
exp01,071,ctrl1,2021-03-09T09:39:00Z,771.4286214278251,A
exp01,071,ctrl1,2021-03-09T09:44:00Z,329.3699486263938,A
exp01,071,ctrl1,2021-03-09T09:49:00Z,879.23247474946,A
exp01,071,ctrl1,2021-03-09T09:54:00Z,329.1140845835644,A
exp01,071,ctrl1,2021-03-09T09:59:00Z,1576.2315063554483,A
exp01,071,ctrl1,2021-03-09T10:04:00Z,2370.3091912126683,A
exp01,071,ctrl1,2021-03-09T10:09:00Z,277.72041518702144,A
exp01,071,ctrl1,2021-03-09T10:14:00Z,250.90052764747233,A
exp01,071,ctrl1,2021-03-09T10:19:00Z,810.5758872128599,A
exp01,071,ctrl1,2021-03-09T10:24:00Z,272.3884434038157,A
exp01,071,ctrl1,2021-03-09T10:29:00Z,260.7589197751115,A
exp01,071,ctrl1,2021-03-09T10:34:00Z,239.18769829836052,A
exp01,071,ctrl1,2021-03-09T10:39:00Z,507.2020376878109,A
exp01,071,ctrl1,2021-03-09T10:44:00Z,340.08283073183884,A
exp01,071,ctrl1,2021-03-09T10:49:00Z,288.3418166454581,A
exp01,071,ctrl1,2021-03-09T10:54:00Z,348.6932683796903,A
exp01,071,ctrl1,2021-03-09T10:59:00Z,556.7756168370199,A
exp01,071,ctrl1,2021-03-09T11:04:00Z,1176.89090702499,A
exp01,071,ctrl1,2021-03-09T11:09:00Z,1199.94640696954,A
exp01,071,ctrl1,2021-03-09T11:14:00Z,2038.7376582334464,A
exp01,071,ctrl1,2021-03-09T11:19:00Z,4248.170080034814,A
exp01,071,ctrl1,2021-03-09T11:24:00Z,4970.160851954279,A
exp01,071,ctrl1,2021-03-09T11:29:00Z,2312.883775927118,A
exp01,071,ctrl1,2021-03-09T11:34:00Z,1182.2854120441789,A
exp01,071,ctrl1,2021-03-09T11:39:00Z,451.44585423460705,A
exp01,071,ctrl1,2021-03-09T11:44:00Z,525.8761391727018,A
exp01,071,ctrl1,2021-03-09T11:49:00Z,346.43279895076836,A
exp01,071,ctrl1,2021-03-09T11:54:00Z,381.60948098357073,A
exp01,071,ctrl1,2021-03-09T11:59:00Z,645.0865233817347,A
exp01,071,ctrl1,2021-03-09T12:04:00Z,588.4302658481039,A
exp01,071,ctrl1,2021-03-09T12:09:00Z,431.0328556418257,A
exp01,071,ctrl1,2021-03-09T12:14:00Z,405.22805320175627,A
exp01,071,ctrl1,2021-03-09T12:19:00Z,499.42016168210193,A
exp01,071,ctrl1,2021-03-09T12:24:00Z,393.8624647995916,A
exp01,071,ctrl1,2021-03-09T12:29:00Z,396.4458998796848,A
exp01,071,ctrl1,2021-03-09T12:34:00Z,901.0446710970832,A
exp01,071,ctrl1,2021-03-09T12:39:00Z,373.0512830844516,A
exp01,071,ctrl1,2021-03-09T12:44:00Z,474.6112173533821,A
exp01,071,ctrl1,2021-03-09T12:49:00Z,334.4786190261992,A
exp01,071,ctrl1,2021-03-09T12:54:00Z,348.25291477499314,A
exp01,071,ctrl1,2021-03-09T12:59:00Z,335.7530405497784,A
exp01,071,ctrl1,2021-03-09T13:04:00Z,1345.1209746391598,A
exp01,071,ctrl1,2021-03-09T13:09:00Z,2886.389752710252,A
exp01,071,ctrl1,2021-03-09T13:14:00Z,1337.8385976116722,A
exp01,071,ctrl1,2021-03-09T13:19:00Z,1465.0641740728984,A
exp01,071,ctrl1,2021-03-09T13:24:00Z,795.4560716068731,A
exp01,071,ctrl1,2021-03-09T13:29:00Z,350.30288409671783,A
exp01,071,ctrl1,2021-03-09T13:34:00Z,475.54088121144383,A
exp01,071,ctrl1,2021-03-09T13:39:00Z,397.833140100459,A
exp01,071,ctrl1,2021-03-09T13:44:00Z,448.6567788113837,A
exp01,071,ctrl1,2021-03-09T13:49:00Z,396.39367503099805,A
exp01,071,ctrl1,2021-03-09T13:54:00Z,761.5014015438196,A
exp01,071,ctrl1,2021-03-09T13:59:00Z,408.4196767568895,A
exp01,071,ctrl1,2021-03-09T14:04:00Z,333.9462585815349,A
exp01,071,ctrl1,2021-03-09T14:09:00Z,364.3913372324165,A
exp01,071,ctrl1,2021-03-09T14:14:00Z,365.204545260759,A
exp01,071,ctrl1,2021-03-09T14:19:00Z,1936.466458612011,A
exp01,071,ctrl1,2021-03-09T14:24:00Z,829.1565852547039,A
exp01,071,ctrl1,2021-03-09T14:29:00Z,1093.3188508117842,A
exp01,071,ctrl1,2021-03-09T14:34:00Z,310.3412849004978,A
exp01,071,ctrl1,2021-03-09T14:39:00Z,417.9966135886167,A
exp01,071,ctrl1,2021-03-09T14:44:00Z,336.00401056126776,A
exp01,071,ctrl1,2021-03-09T14:49:00Z,375.2412104043925,A
exp01,071,ctrl1,2021-03-09T14:54:00Z,364.2440271159693,A
exp01,071,ctrl1,2021-03-09T14:59:00Z,555.6513625933075,A
exp01,071,ctrl1,2021-03-09T15:04:00Z,306.61591401475874,A
exp01,071,ctrl1,2021-03-09T15:09:00Z,291.7324839843638,A
exp01,071,ctrl1,2021-03-09T15:14:00Z,970.2251272466324,A
exp01,071,ctrl1,2021-03-09T15:19:00Z,290.3143898329677,A
exp01,071,ctrl1,2021-03-09T15:24:00Z,1523.64789094553,A
exp01,071,ctrl1,2021-03-09T15:29:00Z,1355.467659444541,A
exp01,071,ctrl1,2021-03-09T15:34:00Z,387.0609981063154,A
exp01,071,ctrl1,2021-03-09T15:39:00Z,501.4210231314497,A
exp01,071,ctrl1,2021-03-09T15:44:00Z,293.9551921347742,A
exp01,071,ctrl1,2021-03-09T15:49:00Z,609.3795901477504,A
exp01,071,ctrl1,2021-03-09T15:54:00Z,286.20754737002704,A
exp01,071,ctrl1,2021-03-09T15:59:00Z,267.4441945011481,A
exp01,071,ctrl1,2021-03-09T16:04:00Z,1152.8190467725865,A
exp01,071,ctrl1,2021-03-09T16:09:00Z,1543.6607134210728,A
exp01,071,ctrl1,2021-03-09T16:14:00Z,1071.0999379604918,A
exp01,071,ctrl1,2021-03-09T16:19:00Z,2683.9042390617665,A
exp01,071,ctrl1,2021-03-09T16:24:00Z,2573.238872503712,A
exp01,071,ctrl1,2021-03-09T16:29:00Z,5802.252113334195,A
exp01,071,ctrl1,2021-03-09T16:34:00Z,2462.2624436258816,A
exp01,071,ctrl1,2021-03-09T16:39:00Z,5200.831965899071,A
exp01,071,ctrl1,2021-03-09T16:44:00Z,4610.057317299547,A
exp01,071,ctrl1,2021-03-09T16:49:00Z,1642.216314568007,A
exp01,071,ctrl1,2021-03-09T16:54:00Z,1182.3045261426846,A
exp01,071,ctrl1,2021-03-09T16:59:00Z,383.38796231287586,A
exp01,071,ctrl1,2021-03-09T17:04:00Z,306.024362996895,A
exp01,071,ctrl1,2021-03-09T17:09:00Z,1628.3506836119695,A
exp01,071,ctrl1,2021-03-09T17:14:00Z,453.2563384152275,A
exp01,071,ctrl1,2021-03-09T17:19:00Z,301.5116528267259,A
exp01,071,ctrl1,2021-03-09T17:24:00Z,319.13692850636687,A
exp01,071,ctrl1,2021-03-09T17:29:00Z,562.3338585524003,A
exp01,071,ctrl1,2021-03-09T17:34:00Z,385.3035023005364,A
exp01,071,ctrl1,2021-03-09T17:39:00Z,325.83248851822464,A
exp01,071,ctrl1,2021-03-09T17:44:00Z,376.93534456375824,A
exp01,071,ctrl1,2021-03-09T17:49:00Z,322.97679171877144,A
exp01,071,ctrl1,2021-03-09T17:54:00Z,1800.7133227789386,A
exp01,071,ctrl1,2021-03-09T17:59:00Z,1935.722446059503,A
exp01,071,ctrl1,2021-03-09T18:04:00Z,1219.583222142484,A
exp01,071,ctrl1,2021-03-09T18:09:00Z,843.2670412257914,A
exp01,071,ctrl1,2021-03-09T18:14:00Z,597.6089128808914,A
exp01,071,ctrl1,2021-03-09T18:19:00Z,399.71734537073826,A
exp01,071,ctrl1,2021-03-09T18:24:00Z,490.5091203516069,A
exp01,071,ctrl1,2021-03-09T18:29:00Z,2952.980639554242,A
exp01,071,ctrl1,2021-03-09T19:00:00Z,279.5862450458219,A
exp01,071,ctrl1,2021-03-09T19:05:00Z,427.7474650705117,A
exp01,071,ctrl1,2021-03-09T19:10:00Z,117.59618935973924,A
exp01,071,ctrl1,2021-03-09T19:15:00Z,298.81461988377816,A
exp01,071,ctrl1,2021-03-09T19:20:00Z,292.75911562611583,A
exp01,071,ctrl1,2021-03-09T19:25:00Z,437.824029083907,A
exp01,071,ctrl1,2021-03-09T19:30:00Z,1290.430434779989,A
exp01,071,ctrl1,2021-03-09T19:35:00Z,311.9044766652617,A
exp01,071,ctrl1,2021-03-09T19:40:00Z,671.734197665185,A
exp01,071,ctrl1,2021-03-09T19:45:00Z,59.86006386181937,A
exp01,071,ctrl1,2021-03-09T19:50:00Z,196.5713629525324,A
exp01,071,ctrl1,2021-03-09T19:55:00Z,180.84964315031516,A
exp01,071,ctrl1,2021-03-09T20:00:00Z,43.477320090952695,A
exp01,071,ctrl1,2021-03-09T20:05:00Z,5216.246991214803,A
exp01,071,ctrl1,2021-03-09T20:10:00Z,3009.5721601242153,A
exp01,071,ctrl1,2021-03-09T20:15:00Z,913.992756641622,A
exp01,071,ctrl1,2021-03-09T20:20:00Z,269.4123733438315,A
exp01,071,ctrl1,2021-03-09T20:25:00Z,560.1147256521839,A
exp01,071,ctrl1,2021-03-09T20:30:00Z,401.1082046887767,A
exp01,071,ctrl1,2021-03-09T20:35:00Z,1204.6224657387404,A
exp01,071,ctrl1,2021-03-09T20:40:00Z,1179.07155392377,A
exp01,071,ctrl1,2021-03-09T20:45:00Z,2810.869969881138,A
exp01,071,ctrl1,2021-03-09T20:50:00Z,3329.663032915256,A
exp01,071,ctrl1,2021-03-09T20:55:00Z,4544.549615732693,A
exp01,071,ctrl1,2021-03-09T21:00:00Z,11183.027773175236,A
exp01,071,ctrl1,2021-03-09T21:05:00Z,8411.60539878278,A
exp01,071,ctrl1,2021-03-09T21:10:00Z,8990.555247027525,A
exp01,071,ctrl1,2021-03-09T21:15:00Z,7789.740808584741,A
exp01,071,ctrl1,2021-03-09T21:20:00Z,5778.579329769867,A
exp01,071,ctrl1,2021-03-09T21:25:00Z,10778.62259424956,A
exp01,071,ctrl1,2021-03-09T21:30:00Z,4809.31202562174,A
exp01,071,ctrl1,2021-03-09T21:35:00Z,4957.151172469942,A
exp01,071,ctrl1,2021-03-09T21:40:00Z,9802.597035911293,A
exp01,071,ctrl1,2021-03-09T21:45:00Z,7651.198777242508,A
exp01,071,ctrl1,2021-03-09T21:50:00Z,7404.795120566546,A
exp01,071,ctrl1,2021-03-09T21:55:00Z,6743.171438492612,A
exp01,071,ctrl1,2021-03-09T22:00:00Z,8264.247210741545,A
exp01,071,ctrl1,2021-03-09T22:05:00Z,11835.636059724664,A
